class,support,tp,fp,fn,precision,recall,f1,per_class_acc
Crepe Knit,9,6,2,3,0.7500,0.6667,0.7059,0.6667
Double,23,15,7,8,0.6818,0.6522,0.6667,0.6522
Jacquard Knit,23,9,7,14,0.5625,0.3913,0.4615,0.3913
Lace Knit,23,17,7,6,0.7083,0.7391,0.7234,0.7391
Low Gauge Knit,23,14,8,9,0.6364,0.6087,0.6222,0.6087
Mesh,23,19,16,4,0.5429,0.8261,0.6552,0.8261
Pile Knit,23,13,11,10,0.5417,0.5652,0.5532,0.5652
Pique,13,8,4,5,0.6667,0.6154,0.6400,0.6154
Single,23,18,0,5,1.0000,0.7826,0.8780,0.7826
Tricot,12,7,7,5,0.5000,0.5833,0.5385,0.5833
